,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
656,656,3,2,45,a,0.15,1.23,Kadan Young,9
664,665,4,1,45,a,0.12,0.83,Nathan Butler-Oyedeji,9
648,648,4,14,45,a,0.11,1.12,Ethan Wheatley,9
643,643,2,19,40,a,0.09,0.55,Kaelan Casey,9
68,641,1,2,40,a,0.08,0.63,Oliwier Zych,9
663,664,2,20,40,a,0.05,0.76,Alfie Pond,9
657,657,2,1,40,a,0.04,0.54,Maldini Kacurri,9
641,640,2,2,40,a,0.03,0.52,Sil Swinkels,9
547,538,3,20,45,u,0.0,0.0,Tawanda Chirewa,9
575,569,3,2,53,s,0.0,0.0,Jaden Philogene,9
613,609,4,18,45,a,0.0,0.0,Will Lankshear,9
619,616,2,11,40,u,0.0,0.0,Ben Nelson,9
558,549,2,20,45,u,0.0,0.0,Hugo Bueno López,9
635,633,3,1,60,a,0.0,0.0,Mikel Merino,9
546,537,3,20,45,u,0.0,0.0,Francisco Jorge Tomás Oliveira,9
472,451,3,17,45,a,0.0,0.0,Samuel Amo-Ameyaw,9
494,477,2,17,40,a,0.0,0.0,Nathan Wood-Gordon,9
631,629,3,5,55,i,0.0,0.0,Matt O'Riley,9
471,450,3,17,49,u,0.0,0.0,Carlos Alcaraz Durán,9
618,614,3,8,45,u,0.0,0.0,Jenson Metcalfe,9
560,551,3,20,45,u,0.0,0.0,Joe Hodge,9
561,552,2,20,40,u,0.0,0.0,Ki-Jana Hoever,9
629,627,2,8,40,a,0.0,0.0,Roman Dixon,9
616,612,3,18,53,i,0.0,0.0,Wilson Odobert,9
544,534,3,20,48,i,0.0,0.0,Boubacar Traoré,9
476,456,2,17,39,a,0.0,0.0,Armel Bella-Kotchap,9
480,460,2,17,39,a,0.0,0.0,Ronnie Edwards,9
665,666,2,7,40,a,0.0,0.0,Caleb Kporha,9
548,539,4,20,45,a,0.0,0.0,Leon Chiwome,9
482,462,3,17,50,a,0.0,0.0,Kamaldeen Sulemana,9
483,463,3,17,50,a,0.0,0.0,Adam Lallana,9
479,459,3,17,49,u,0.0,0.0,Samuel Edozie,9
478,458,3,17,45,u,0.0,0.0,Shea Charles,9
568,561,2,20,40,a,0.0,0.0,Pedro Cardoso de Lima,9
569,562,3,20,55,u,0.0,0.0,Daniel Castelo Podence,9
555,546,4,20,45,u,0.0,0.0,Nathan Fraser,9
578,572,2,14,43,i,0.0,0.0,Leny Yoro,9
556,547,3,20,45,i,0.0,0.0,Enso González,9
484,464,2,17,40,a,0.0,0.0,Juan Larios López,9
554,545,4,20,50,u,0.0,0.0,Fábio Silva,9
553,544,3,20,48,a,0.0,0.0,Tommy Doyle,9
486,468,4,17,50,u,0.0,0.0,Sékou Mara,9
634,632,3,10,50,a,0.0,0.0,Chiedozie Ogbene,9
477,457,2,17,40,a,0.0,0.0,James Bree,9
572,565,3,20,51,a,0.0,0.0,Pablo Sarabia,9
549,540,3,20,45,a,0.0,0.0,Luke Cundle,9
488,471,3,17,50,d,0.0,0.0,Will Smallbone,9
633,631,3,10,55,a,0.0,0.0,Jack Clarke,9
495,478,2,18,40,u,0.0,0.0,Ashley Phillips,9
611,607,3,13,50,a,0.0,0.0,Nico O'Reilly,9
662,663,2,5,40,a,0.0,0.0,Imari Samuels,9
622,619,3,10,45,d,0.0,0.0,Jens Cajuste,9
653,653,2,16,45,a,0.0,0.0,Felipe Rodrigues da Silva,9
588,583,2,10,40,a,0.0,0.0,Conor Townsend,9
605,601,3,5,50,u,0.0,0.0,Andrew Moran,9
604,600,3,5,50,a,0.0,0.0,Yasin Ayari,9
531,519,3,19,45,u,0.0,0.0,George Earthy,9
505,490,3,18,50,u,0.0,0.0,Pierre-Emile Højbjerg,9
651,651,3,8,50,a,0.0,0.0,Orel Mangala,9
508,493,3,18,49,u,0.0,0.0,Giovani Lo Celso,9
527,515,3,17,48,a,0.0,0.0,Maxwel Cornet,9
649,649,2,4,40,a,0.0,0.0,Jayden Meghoma,9
600,595,3,5,54,a,0.0,0.0,Brajan Gruda,9
642,642,3,20,50,a,0.0,0.0,André Trindade da Costa Neto,9
636,634,3,4,49,i,0.0,0.0,Gustavo Nunes Fernandes Gomes,9
625,622,3,9,50,a,0.0,0.0,Sander Berge,9
647,647,3,7,45,a,0.0,0.0,Kaden Rodney,9
591,586,2,9,44,i,0.0,0.0,Jorge Cuenca Barreno,9
